De;a;Text a afficher
05.02.2016 18:00;12.02.2016 18:00;N01
12.02.2016 18:00;19.02.2016 18:00;N02
19.02.2016 18:00;26.02.2016 18:00;N03
26.02.2016 18:00;04.03.2016 18:00;N01
04.03.2016 18:00;11.03.2016 18:00;N02
11.03.2016 18:00;18.03.2016 18:00;N03
18.03.2016 18:00;25.03.2016 18:00;N01
25.03.2016 18:00;01.04.2016 18:00;N02
01.04.2016 18:00;08.04.2016 18:00;N03
08.04.2016 18:00;15.04.2016 18:00;N01
15.04.2016 18:00;22.04.2016 18:00;N02
22.04.2016 18:00;29.04.2016 18:00;N03
29.04.2016 18:00;06.05.2016 18:00;N01
06.05.2016 18:00;13.05.2016 18:00;N02
13.05.2016 18:00;20.05.2016 18:00;N03
20.05.2016 18:00;27.05.2016 18:00;N01
27.05.2016 18:00;03.06.2016 18:00;N02
03.06.2016 18:00;10.06.2016 18:00;N03
10.06.2016 18:00;17.06.2016 18:00;N01
17.06.2016 18:00;24.06.2016 18:00;N02
24.06.2016 18:00;01.07.2016 18:00;N03
01.07.2016 18:00;08.07.2016 18:00;N01
08.07.2016 18:00;15.07.2016 18:00;N02
15.07.2016 18:00;22.07.2016 18:00;N03
22.07.2016 18:00;29.07.2016 18:00;N01
29.07.2016 18:00;05.08.2016 18:00;N02
05.08.2016 18:00;12.08.2016 18:00;N03
12.08.2016 18:00;19.08.2016 18:00;N01
19.08.2016 18:00;26.08.2016 18:00;N02
26.08.2016 18:00;02.09.2016 18:00;N03
02.09.2016 18:00;09.09.2016 18:00;N01
09.09.2016 18:00;16.09.2016 18:00;N02
16.09.2016 18:00;23.09.2016 18:00;N03
23.09.2016 18:00;30.09.2016 18:00;N01
30.09.2016 18:00;07.10.2016 18:00;N02
07.10.2016 18:00;14.10.2016 18:00;N03
14.10.2016 18:00;21.10.2016 18:00;N01
21.10.2016 18:00;28.10.2016 18:00;N02
28.10.2016 18:00;04.11.2016 18:00;N03
04.11.2016 18:00;11.11.2016 18:00;N01
11.11.2016 18:00;18.11.2016 18:00;N02
18.11.2016 18:00;25.11.2016 18:00;N03
25.11.2016 18:00;02.12.2016 18:00;N01
02.12.2016 18:00;09.12.2016 18:00;N02
09.12.2016 18:00;16.12.2016 18:00;N03
16.12.2016 18:00;23.12.2016 18:00;N01
23.12.2016 18:00;30.12.2016 18:00;N02
30.12.2016 18:00;06.01.2017 18:00;N03
